a,1,a,a,ア,[i]ce cream,6CB22E,a/ya/ma
a,2,i,i,イ,[e]aring,53C3C7,i/to/me
a,3,u,u,ウ,[Wo]o! This is heavy.,FF5B57,u/wa/ku
a,4,e,e,エ,[e]xercise,FDBD0E,e/ko/yu
a,5,o,o,オ,[o]verall,8065D2,
k,1,ka,ka,カ,[cu]p and straw,6CB22E,ka/ku
k,2,ki,ki,キ,[ke]y,53C3C7,ki/chi
k,3,ku,ku,ク,[coo]king,FF5B57,ku/wa/ke
k,4,ke,ke,ケ,Letter “[K]” is in “O[K]”.,FDBD0E,ke/ku
k,5,ko,ko,コ,[co]mb,8065D2,ko/yu/ro
s,1,sa,sa,サ,[sa]ber,6CB22E,sa/na
s,2,shi,shi,シ,[she]ep,53C3C7,shi/tsu
s,3,su,su,ス,[su]perman,FF5B57,su/nu
s,4,se,se,セ,[se]t the world record,FDBD0E,se/hi/ya
s,5,so,so,ソ,[so]mbrero,8065D2,so/N
t,1,ta,ta,タ,[to]wer of Pisa,6CB22E,ta/ku
t,2,chi,chi,チ,[che]er leader,53C3C7,chi/na/te
t,3,tsu,tsu,ツ,[tsu]nami,FF5B57,tsu/shi
t,4,te,te,テ,[ta]ble,FDBD0E,te/chi/na
t,5,to,to,ト,[to]tem pole,8065D2,to/i
n,1,na,na,ナ,[kni]fe,6CB22E,na/me
n,2,ni,ni,ニ,[ne]edle,53C3C7,
n,3,nu,nu,ヌ,eating [no]odle with chopsticks,FF5B57,nu/su
n,4,ne,ne,ネ,[ne]cktie,FDBD0E,ne/nu/su
n,5,no,no,ノ,[NO] sign,8065D2,
h,1,ha,ha,ハ,[Ha]-ha-ha,6CB22E,
h,2,hi,hi,ヒ,[he]el stretches,53C3C7,hi/se/mo
h,3,fu,fu,フ,[hoo]d,FF5B57,fu/wa
h,4,he,he,ヘ,[hea]d,FDBD0E,
h,5,ho,ho,ホ,[ho]ly cross,8065D2,
m,1,ma,ma,マ,[my] nose,6CB22E,ma/a/ya
m,2,mi,mi,ミ,[mi]tt,53C3C7,mi/shi
m,3,mu,mu,ム,[mo]o,FF5B57,mu/ma
m,4,me,me,メ,[Me]xico,FDBD0E,me/nu/na
m,5,mo,mo,モ,[mo]re fish,8065D2,mo/hi
y,1,ya,ya,ヤ,[ya]cht,6CB22E,ya/a/ma
y,2,,,,,,
y,3,yu,yu,ユ,[u]kulele,FF5B57,yu/ko/e
y,4,,,,,,
y,5,yo,yo,ヨ,[yo]gurt,8065D2,yo/(w)o
r,1,ra,ra,ラ,[ra]men noodle,6CB22E,ra/fu/u
r,2,ri,ri,リ,[li]sten,53C3C7,
r,3,ru,ru,ル,[Loo]k!,FF5B57,ru/re
r,4,re,re,レ,[Le]t's dance!,FDBD0E,re/ru
r,5,ro,ro,ロ,[ro]bot,8065D2,ro/ko
w,1,wa,wa,ワ,[wi]ne,6CB22E,wa/ku/fu
w,2,,,,,,
w,3,,,,,,
w,4,,,,,,
w,5,wo,(w)o,ヲ,[O]h! I can ride a unicycle!,8065D2,(w)o/yo/ra
N,6,N,N,ン,「ノ(no)」with o[ne] more line.,B1BFC7,N/so
N,2,,,,,,
N,3,,,,,,
N,4,,,,,,
N,5,,,,,,
